rank,pack_id,recipient_offset,recipient_length,recipient_class,class_name,known_source_group,known_source_overlap_windows,known_source_overlap_fraction,canonical_source_group,canonical_overlap_windows,canonical_overlap_fraction,class_match,screen_score,status
39,476,499072095,1047966,0,prose,388,19,0.000718608,422,252,0.009531014,0,4218.462935,screen_only_exact_test_required
40,494,517943610,1047909,0,prose,388,18,0.000763683,422,222,0.009418753,0,4207.246076,screen_only_exact_test_required
41,471,493828753,1049457,0,prose,388,24,0.000965484,422,219,0.008810041,0,4206.498310,screen_only_exact_test_required
42,485,508507664,1048084,10,mixed,388,31,0.001093822,422,237,0.008362443,0,4201.176758,screen_only_exact_test_required
43,493,516894220,1049390,0,prose,388,17,0.000715729,422,223,0.009388683,0,4147.268272,screen_only_exact_test_required
44,458,480198852,1047896,0,prose,388,23,0.000791684,422,262,0.009018312,0,4125.093074,screen_only_exact_test_required
45,500,524233421,1037778,0,prose,388,22,0.000799215,422,242,0.008791368,0,4041.194282,screen_only_exact_test_required
46,465,487540246,1047893,0,prose,388,19,0.000723837,422,237,0.009028915,0,4040.457484,screen_only_exact_test_required
47,491,514796869,1048256,0,prose,388,20,0.000767195,422,232,0.008899459,0,4038.005447,screen_only_exact_test_required
48,490,513748968,1047901,0,prose,388,22,0.000826539,422,231,0.008678664,0,4023.571834,screen_only_exact_test_required
49,477,500120061,1048419,0,prose,388,21,0.000821596,422,222,0.008685446,0,4014.502347,screen_only_exact_test_required
50,497,521088742,1048925,0,prose,388,16,0.000630890,422,234,0.009226766,0,4009.257876,screen_only_exact_test_required
51,466,488588139,1047723,0,prose,388,25,0.000937664,422,217,0.008138924,0,3944.787600,screen_only_exact_test_required
52,461,483344345,1048184,0,prose,388,21,0.000759164,422,239,0.008640012,0,3944.668245,screen_only_exact_test_required
53,483,506411119,1048772,10,mixed,388,23,0.000794199,422,246,0.008494475,0,3936.265193,screen_only_exact_test_required
54,484,507459891,1047773,9,list,388,25,0.000866461,422,236,0.008179392,1,3905.248258,screen_only_exact_test_required
55,462,484392529,1050368,0,prose,388,24,0.000883848,422,222,0.008175591,0,3904.304559,screen_only_exact_test_required
56,480,503265454,1048905,10,mixed,388,26,0.000905986,422,231,0.008049341,0,3890.755976,screen_only_exact_test_required
57,488,511651677,1048310,10,mixed,388,28,0.000951831,422,231,0.007852602,0,3871.741357,screen_only_exact_test_required
58,459,481246748,1048413,0,prose,388,27,0.000947501,422,224,0.007860752,0,3864.764739,screen_only_exact_test_required
59,499,523185708,1047713,0,prose,388,24,0.000890076,422,217,0.008047767,0,3863.294244,screen_only_exact_test_required
60,474,496975100,1048117,0,prose,388,21,0.000790960,422,221,0.008323917,0,3856.831450,screen_only_exact_test_required
61,492,515845125,1049095,0,prose,388,16,0.000643837,422,218,0.008772283,0,3855.136252,screen_only_exact_test_required
62,444,465519446,1048625,0,prose,388,23,0.000854860,422,217,0.008065415,0,3832.255064,screen_only_exact_test_required
63,468,490684771,1048061,0,prose,388,19,0.000733959,422,218,0.008421215,0,3828.384479,screen_only_exact_test_required
